,datetime,core_category,value
0,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
1,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
2,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
3,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
4,2024-07-16 08:40:11.010337,open5gs-nssf,0.0169922481
5,2024-07-16 08:40:11.010337,open5gs-pcf,0.0166372602
6,2024-07-16 08:40:11.010337,open5gs-smf,0.0210316832
7,2024-07-16 08:40:11.010337,open5gs-upf,0.0047978082
8,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
9,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
10,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
11,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
12,2024-07-16 08:40:11.010337,open5gs-nssf,0.0169922481
13,2024-07-16 08:40:11.010337,open5gs-pcf,0.0166372602
14,2024-07-16 08:40:11.010337,open5gs-smf,0.0210316832
15,2024-07-16 08:40:11.010337,open5gs-upf,0.0047978082
16,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
17,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
18,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
19,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
20,2024-07-16 08:40:11.010337,open5gs-nssf,0.0169922481
21,2024-07-16 08:40:11.010337,open5gs-pcf,0.0166372602
22,2024-07-16 08:40:11.010337,open5gs-smf,0.0210316832
23,2024-07-16 08:40:11.010337,open5gs-upf,0.0047978082
24,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
25,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
26,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
27,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
28,2024-07-16 08:40:11.010337,open5gs-nssf,0.0169922481
29,2024-07-16 08:40:11.010337,open5gs-pcf,0.0166372602
30,2024-07-16 08:40:11.010337,open5gs-smf,0.0210316832
31,2024-07-16 08:40:11.010337,open5gs-upf,0.0047978082
32,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
33,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
34,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
35,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
36,2024-07-16 08:40:11.010337,open5gs-nssf,0.0169922481
37,2024-07-16 08:40:11.010337,open5gs-pcf,0.0166372602
38,2024-07-16 08:40:11.010337,open5gs-smf,0.0210316832
39,2024-07-16 08:40:11.010337,open5gs-upf,0.0047978082
40,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
41,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
42,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
43,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
44,2024-07-16 08:40:11.010337,open5gs-nssf,0.0169922481
45,2024-07-16 08:40:11.010337,open5gs-pcf,0.0166372602
46,2024-07-16 08:40:11.010337,open5gs-smf,0.0210316832
47,2024-07-16 08:40:11.010337,open5gs-upf,0.0047978082
48,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
49,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
50,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
51,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
52,2024-07-16 08:40:11.010337,open5gs-nssf,0.0169922481
53,2024-07-16 08:40:11.010337,open5gs-pcf,0.0166372602
54,2024-07-16 08:40:11.010337,open5gs-smf,0.0210316832
55,2024-07-16 08:40:11.010337,open5gs-upf,0.0047978082
56,2024-07-16 08:40:11.010337,open5gs-amf,0.0168109513
57,2024-07-16 08:40:11.010337,open5gs-ausf,0.0167691577
58,2024-07-16 08:40:11.010337,open5gs-bsf,0.0181356082
59,2024-07-16 08:40:11.010337,open5gs-nrf,0.0571389207
