,datetime,cellid,value
0,2024-05-14 14:15:00,1001,0.0
1,2024-05-14 14:15:00,1002,0.0
2,2024-05-14 14:15:00,1003,0.0
3,2024-05-14 14:15:00,1,232.28
4,2024-05-14 14:15:00,2,214.19
5,2024-05-14 14:15:00,3,243.74
6,2024-05-14 14:30:00,1001,0.0
7,2024-05-14 14:30:00,1002,0.0
8,2024-05-14 14:30:00,1003,0.0
9,2024-05-14 14:30:00,1,144.42
10,2024-05-14 14:30:00,2,180.31
11,2024-05-14 14:30:00,3,127.96
12,2024-05-14 14:15:00,1001,0.0
13,2024-05-14 14:15:00,1002,0.0
14,2024-05-14 14:15:00,1003,0.0
15,2024-05-14 14:15:00,1,232.28
16,2024-05-14 14:15:00,2,214.19
17,2024-05-14 14:15:00,3,243.74
18,2024-05-14 14:30:00,1001,0.0
19,2024-05-14 14:30:00,1002,0.0
20,2024-05-14 14:30:00,1003,0.0
21,2024-05-14 14:30:00,1,144.42
22,2024-05-14 14:30:00,2,180.31
23,2024-05-14 14:30:00,3,127.96
24,2024-05-14 14:15:00,1001,0.0
25,2024-05-14 14:15:00,1002,0.0
26,2024-05-14 14:15:00,1003,0.0
27,2024-05-14 14:15:00,1,232.28
28,2024-05-14 14:15:00,2,214.19
29,2024-05-14 14:15:00,3,243.74
30,2024-05-14 14:30:00,1001,0.0
31,2024-05-14 14:30:00,1002,0.0
32,2024-05-14 14:30:00,1003,0.0
33,2024-05-14 14:30:00,1,144.42
34,2024-05-14 14:30:00,2,180.31
35,2024-05-14 14:30:00,3,127.96
36,2024-05-14 14:15:00,1001,0.0
37,2024-05-14 14:15:00,1002,0.0
38,2024-05-14 14:15:00,1003,0.0
39,2024-05-14 14:15:00,1,232.28
40,2024-05-14 14:15:00,2,214.19
41,2024-05-14 14:15:00,3,243.74
42,2024-05-14 14:30:00,1001,0.0
43,2024-05-14 14:30:00,1002,0.0
44,2024-05-14 14:30:00,1003,0.0
45,2024-05-14 14:30:00,1,144.42
46,2024-05-14 14:30:00,2,180.31
47,2024-05-14 14:30:00,3,127.96
48,2024-05-14 14:15:00,1001,0.0
49,2024-05-14 14:15:00,1002,0.0
50,2024-05-14 14:15:00,1003,0.0
51,2024-05-14 14:15:00,1,232.28
52,2024-05-14 14:15:00,2,214.19
53,2024-05-14 14:15:00,3,243.74
54,2024-05-14 14:30:00,1001,0.0
55,2024-05-14 14:30:00,1002,0.0
56,2024-05-14 14:30:00,1003,0.0
57,2024-05-14 14:30:00,1,144.42
58,2024-05-14 14:30:00,2,180.31
59,2024-05-14 14:30:00,3,127.96
60,2024-05-14 14:15:00,1001,0.0
61,2024-05-14 14:15:00,1002,0.0
62,2024-05-14 14:15:00,1003,0.0
63,2024-05-14 14:15:00,1,232.28
64,2024-05-14 14:15:00,2,214.19
65,2024-05-14 14:15:00,3,243.74
66,2024-05-14 14:30:00,1001,0.0
67,2024-05-14 14:30:00,1002,0.0
68,2024-05-14 14:30:00,1003,0.0
69,2024-05-14 14:30:00,1,144.42
70,2024-05-14 14:30:00,2,180.31
71,2024-05-14 14:30:00,3,127.96
72,2024-05-14 14:15:00,1001,0.0
73,2024-05-14 14:15:00,1002,0.0
74,2024-05-14 14:15:00,1003,0.0
75,2024-05-14 14:15:00,1,232.28
76,2024-05-14 14:15:00,2,214.19
77,2024-05-14 14:15:00,3,243.74
78,2024-05-14 14:30:00,1001,0.0
79,2024-05-14 14:30:00,1002,0.0
80,2024-05-14 14:30:00,1003,0.0
81,2024-05-14 14:30:00,1,144.42
82,2024-05-14 14:30:00,2,180.31
83,2024-05-14 14:30:00,3,127.96
84,2024-05-14 14:15:00,1001,0.0
85,2024-05-14 14:15:00,1002,0.0
86,2024-05-14 14:15:00,1003,0.0
87,2024-05-14 14:15:00,1,232.28
88,2024-05-14 14:15:00,2,214.19
89,2024-05-14 14:15:00,3,243.74
90,2024-05-14 14:30:00,1001,0.0
91,2024-05-14 14:30:00,1002,0.0
92,2024-05-14 14:30:00,1003,0.0
93,2024-05-14 14:30:00,1,144.42
94,2024-05-14 14:30:00,2,180.31
95,2024-05-14 14:30:00,3,127.96
96,2024-05-14 14:15:00,1001,0.0
97,2024-05-14 14:15:00,1002,0.0
98,2024-05-14 14:15:00,1003,0.0
99,2024-05-14 14:15:00,1,232.28
100,2024-05-14 14:15:00,2,214.19
101,2024-05-14 14:15:00,3,243.74
102,2024-05-14 14:30:00,1001,0.0
103,2024-05-14 14:30:00,1002,0.0
104,2024-05-14 14:30:00,1003,0.0
105,2024-05-14 14:30:00,1,144.42
106,2024-05-14 14:30:00,2,180.31
107,2024-05-14 14:30:00,3,127.96
108,2024-05-14 14:15:00,1001,0.0
109,2024-05-14 14:15:00,1002,0.0
110,2024-05-14 14:15:00,1003,0.0
111,2024-05-14 14:15:00,1,232.28
112,2024-05-14 14:15:00,2,214.19
113,2024-05-14 14:15:00,3,243.74
114,2024-05-14 14:30:00,1001,0.0
115,2024-05-14 14:30:00,1002,0.0
116,2024-05-14 14:30:00,1003,0.0
117,2024-05-14 14:30:00,1,144.42
118,2024-05-14 14:30:00,2,180.31
119,2024-05-14 14:30:00,3,127.96
120,2024-05-14 14:15:00,1001,0.0
121,2024-05-14 14:15:00,1002,0.0
122,2024-05-14 14:15:00,1003,0.0
123,2024-05-14 14:15:00,1,232.28
124,2024-05-14 14:15:00,2,214.19
125,2024-05-14 14:15:00,3,243.74
126,2024-05-14 14:30:00,1001,0.0
127,2024-05-14 14:30:00,1002,0.0
128,2024-05-14 14:30:00,1003,0.0
129,2024-05-14 14:30:00,1,144.42
